file,face,valence,emotion,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43
..\MultiEmoVA\HighNegative\Q111.jpg,0,-1,surprise,0.6108896136283875,0.406344473361969,0.28510600328445435,0.25910085439682007,0.22387637197971344,0.0,0.7328557372093201,0.0022897033486515284,1.0,0.17617680132389069,0.7079217433929443,0.4125547707080841,0.6723657250404358,0.0,0.7306640148162842,0.7787370681762695,0.018679039552807808,0.06586925685405731,0.7013489603996277,0.18215425312519073
..\MultiEmoVA\HighNegative\Q111.jpg,1,-1,surprise,0.39494389295578003,0.15987980365753174,0.5836557745933533,0.2161659151315689,0.28831058740615845,0.0,0.5895736217498779,0.031945664435625076,0.0,0.2650209665298462,0.6264457106590271,0.6816142797470093,0.39337077736854553,1.0,0.6208791732788086,0.7726559042930603,0.07794202864170074,0.1469752937555313,0.593183159828186,0.619443953037262
..\MultiEmoVA\HighNegative\Q111.jpg,2,-1,neutral,0.37113940715789795,0.4014187157154083,0.18718548119068146,0.3924940824508667,0.41157102584838867,1.0,0.4425897002220154,0.007000493351370096,1.0,0.206684872508049,0.270775705575943,0.21783237159252167,0.36612918972969055,0.0,0.46413925290107727,0.522057831287384,0.021314961835741997,0.07202352583408356,0.20286545157432556,0.813461184501648
..\MultiEmoVA\HighNegative\Q114.jpg,0,-1,anger,0.3254281282424927,0.3049197793006897,0.4498332738876343,0.3912791907787323,0.12972329556941986,0.0,0.15752463042736053,0.011615653522312641,1.0,0.03850918635725975,0.7474644184112549,0.19914895296096802,0.3802337050437927,1.0,0.4526652693748474,0.5396115779876709,0.027693159878253937,0.10989276319742203,0.22967496514320374,0.02711752988398075
..\MultiEmoVA\HighNegative\Q114.jpg,1,-1,anger,0.3563855290412903,0.2536531090736389,0.6870473027229309,0.28465744853019714,0.10124502331018448,0.0,0.2744481563568115,0.061720412224531174,0.0,0.07133453339338303,0.4201878309249878,0.20847299695014954,0.43648669123649597,0.0,0.4907578229904175,0.4429957866668701,0.028444111347198486,0.07293891906738281,0.7765890955924988,0.09075755625963211
..\MultiEmoVA\HighNegative\Q119.jpg,0,-1,neutral,0.7300266027450562,0.653826892375946,0.24328604340553284,0.32021138072013855,0.11581256240606308,0.0,0.08149285614490509,0.0014918830711394548,1.0,0.05580095201730728,0.12101895362138748,0.07977083325386047,0.39293238520622253,0.0,0.21564361453056335,0.047122810035943985,0.9713230133056641,0.5054405927658081,0.039896972477436066,0.11037939786911011
..\MultiEmoVA\HighNegative\Q119.jpg,1,-1,anger,0.6327773928642273,0.26006266474723816,0.5551067590713501,0.3959442973136902,0.14659640192985535,0.0,0.13887768983840942,0.03257179260253906,1.0,0.04097206890583038,0.3314295709133148,0.56581050157547,0.4194537103176117,1.0,0.4524058997631073,0.03329533711075783,0.9969627261161804,0.586903989315033,0.06504425406455994,0.04112694039940834
..\MultiEmoVA\HighNegative\Q119.jpg,2,-1,anger,0.6395758390426636,0.32504186034202576,0.2600829601287842,0.37446287274360657,0.1021653562784195,0.0,0.18591369688510895,0.15234018862247467,0.0,0.025541294366121292,0.46953368186950684,0.3718150556087494,0.3667632043361664,0.0,0.6803138852119446,0.37070798873901367,0.7989696860313416,0.3181697726249695,0.2991560399532318,0.06104225292801857
..\MultiEmoVA\HighNegative\Q119.jpg,3,-1,anger,0.3642914295196533,0.14939816296100616,0.7711792588233948,0.6287844181060791,0.2010781317949295,1.0,0.17316065728664398,0.004936853889375925,1.0,0.11402340233325958,0.26134592294692993,0.19600114226341248,0.3760390877723694,1.0,0.6073055863380432,0.028861142694950104,0.9995952248573303,0.5967380404472351,0.05035241320729256,0.10634025931358337
..\MultiEmoVA\HighNegative\Q119.jpg,4,-1,sadness,0.5225319862365723,0.18628421425819397,0.5289047956466675,0.6812216639518738,0.0522015355527401,0.0,0.1274390071630478,0.0014133453369140625,1.0,0.012273981235921383,0.16070707142353058,0.2490711808204651,0.46340876817703247,0.0,0.4155654013156891,0.1250455677509308,0.26346611976623535,0.07706142961978912,0.1575731784105301,0.062223661690950394
..\MultiEmoVA\HighNegative\Q126.jpg,0,-1,anger,0.5582693815231323,0.25751832127571106,0.7325825691223145,0.34535595774650574,0.3234266936779022,0.0,0.20137393474578857,0.8767462968826294,0.0,0.10925780236721039,0.21304374933242798,0.48343974351882935,0.3323381841182709,1.0,0.6047277450561523,0.022547846660017967,0.9995713829994202,0.8281617164611816,0.45483651757240295,0.16151125729084015
..\MultiEmoVA\HighNegative\Q126.jpg,1,-1,anger,0.6985004544258118,0.25183600187301636,0.3754880726337433,0.34570103883743286,0.36543625593185425,1.0,0.1909186840057373,0.07871156185865402,0.0,0.043015751987695694,0.3025071322917938,0.36973294615745544,0.2074432373046875,1.0,0.3832595944404602,0.018388167023658752,0.9983686804771423,0.9055379033088684,0.06814956665039062,0.1380845308303833
..\MultiEmoVA\HighNegative\Q126.jpg,2,-1,surprise,0.5602457523345947,0.2670336663722992,0.5779381394386292,0.5191172957420349,0.06875238567590714,0.0,0.1750115603208542,0.0006710760062560439,0.0,0.044715117663145065,0.12101705372333527,0.5882415771484375,0.35736557841300964,0.0,0.45613613724708557,0.4623354971408844,0.4105156362056732,0.3016577661037445,0.05951213091611862,0.11753565073013306
..\MultiEmoVA\HighNegative\Q141.jpg,0,-1,anger,0.1668887734413147,0.19820280373096466,0.21590958535671234,0.3715088665485382,0.48954957723617554,0.0,0.41885849833488464,0.627000093460083,1.0,0.674332857131958,0.7129133939743042,0.4420951008796692,0.3707255423069,1.0,0.43655359745025635,0.2634047865867615,0.9542985558509827,0.2884269952774048,0.048580631613731384,0.03397969529032707
..\MultiEmoVA\HighNegative\Q141.jpg,1,-1,anger,0.40159499645233154,0.10718300193548203,0.9027652740478516,0.3482028543949127,0.051711972802877426,0.0,0.09941602498292923,0.049903422594070435,1.0,0.010776552371680737,0.30082839727401733,0.22486484050750732,0.49697092175483704,0.0,0.3929516673088074,0.5199528336524963,0.004597089719027281,0.028340289369225502,0.2600526511669159,0.04076777398586273
..\MultiEmoVA\HighNegative\Q141.jpg,2,-1,neutral,0.5689576268196106,0.6178026795387268,0.6248866319656372,0.25672444701194763,0.552608072757721,0.0,0.7464189529418945,0.1538931131362915,1.0,0.4874814450740814,0.4913998246192932,0.15429118275642395,0.40503183007240295,1.0,0.3760705888271332,0.4104692339897156,0.9551999568939209,0.2782514989376068,0.10783768445253372,0.8330096006393433
..\MultiEmoVA\HighNegative\Q142.jpg,0,-1,sadness,0.4789235293865204,0.204515278339386,0.2737976014614105,0.2662324011325836,0.42956414818763733,1.0,0.5064370632171631,0.829939067363739,0.0,0.49236515164375305,0.23709845542907715,0.24469740688800812,0.23199477791786194,1.0,0.1533692330121994,0.014167004264891148,0.9979801774024963,0.8830225467681885,0.06580375134944916,0.682327389717102
..\MultiEmoVA\HighNegative\Q142.jpg,1,-1,anger,0.3092980980873108,0.16952304542064667,0.31702300906181335,0.44825461506843567,0.10808916389942169,1.0,0.17746670544147491,0.0820646807551384,0.0,0.11839087307453156,0.2382710874080658,0.14002476632595062,0.2618370056152344,1.0,0.36407315731048584,0.011231045238673687,0.9997468590736389,0.9331142902374268,0.09357801824808121,0.05415644496679306
..\MultiEmoVA\HighNegative\Q142.jpg,2,-1,fear,0.37831005454063416,0.1581356227397917,0.7887793183326721,0.2504696547985077,0.11767647415399551,0.0,0.5549498200416565,0.011349588632583618,1.0,0.027298739179968834,0.26103949546813965,0.23587065935134888,0.45991072058677673,1.0,0.45704981684684753,0.07412710785865784,0.994017481803894,0.8163576722145081,0.1352742612361908,0.9030120372772217
..\MultiEmoVA\HighNegative\Q142.jpg,3,-1,sadness,0.6560640335083008,0.15528516471385956,0.7936662435531616,0.25128623843193054,0.5654711723327637,1.0,0.6807936429977417,0.1869824081659317,0.0,0.10772791504859924,0.48116934299468994,0.7142704725265503,0.2381492704153061,1.0,0.6665173768997192,0.007988886907696724,0.9998785257339478,0.93611741065979,0.17592988908290863,0.8941200971603394
..\MultiEmoVA\HighNegative\Q142.jpg,4,-1,anger,0.47781145572662354,0.30227944254875183,0.882011890411377,0.32285404205322266,0.36847352981567383,1.0,0.750275194644928,0.5537243485450745,0.0,0.10075461119413376,0.3451574146747589,0.38719138503074646,0.2679525911808014,1.0,0.549606204032898,0.0091110710054636,0.9997726082801819,0.7892093658447266,0.17957037687301636,0.9246799945831299
